"country","time","employmentTotalY15-64","unemploymentTotalY15-64","employmentInflows","employmentOutflows","unemploymentLT","unemploymentYouth1524","unemploymentYouth1529","employmentWomen","NEET 15-24","NEET 15-24","jobVacancy","GDPcapita","inflation","minWage1","minWage2","minWageMedian1","minWageMedian2","imports","exports","GDP"
"Bulgaria",2006,58.6,na,na,na,na,23.2,37.3,58.6,na,na,na,38,76.02,44.7,na,na,na,17561.5,12876.6,27410
"Czechia",2006,65.3,na,na,na,na,27.7,45.5,65.3,na,na,na,80,83.2,39.7,na,na,na,77430.9,80822.6,124581.2
"Denmark",2006,77.4,na,na,na,na,64.6,70.3,77.4,na,na,na,125,86.5,na,na,na,na,105180.3,114412.1,225531.3
"Germany (until 1990 former territory of the FRG)",2006,67.2,na,na,na,na,43.5,53.1,67.2,na,na,na,116,87,na,na,na,na,859030,988208,2385080
"Estonia",2006,68.4,na,38.5,3.1,na,31.4,47.7,68.4,na,na,na,65,72.37,30.5,na,na,na,9956.4,8584.6,13568.9
"Ireland",2006,68.7,na,na,na,na,50.3,62.3,68.7,na,na,na,148,93.7,39.7,na,49.8,na,131266.7,146148,184916.2
"Greece",2006,60.6,na,38.7,3.5,na,24.2,42.9,60.6,na,na,na,96,87.14,47.7,na,67.1,na,69010.3,46130,217861.6
"Spain",2006,65,na,40.3,5,na,39.6,55.4,65,na,na,na,103,86.29,35.8,na,45.2,na,310541,253378,1003823
"France",2006,63.7,8.9,na,na,29.5,30,45.9,63.7,9.1,10.9,na,109,88.1,na,na,na,na,520594,516282,1848151
"Croatia",2006,55.6,na,na,na,na,25.5,39.6,55.6,na,na,na,59,82.46,na,na,na,na,18674.4,15241.7,40536.1
"Italy",2006,58.3,na,13.7,2.6,na,25.3,40.5,58.3,na,na,na,108,85.6,na,na,na,na,419143,406392.3,1552686.8
"Cyprus",2006,69.6,na,na,na,na,37.4,54.5,69.6,na,na,na,100,86.79,na,na,na,na,9168,8690.7,16263.8
"Latvia",2006,65.9,na,na,na,na,35.3,47.9,65.9,na,na,na,53,71.83,33.3,na,na,na,10485.2,6901,17363.1
"Lithuania",2006,63.6,na,na,na,na,23.7,41.2,63.6,na,na,na,55,74.59,42.1,na,52.4,na,16187.4,13719.4,24053.3
"Luxembourg",2006,63.6,na,na,na,na,23.3,43.7,63.6,na,na,na,264,83.24,46.2,na,55.6,na,47209.1,57325.3,34175
"Hungary",2006,57.4,na,na,na,na,21.6,40.8,57.4,na,na,na,62,71.76,41.7,na,na,na,69305.1,67971.6,92155.1
"Malta",2006,53.9,na,na,na,na,44.8,56.1,53.9,na,na,na,78,83.79,50.4,na,57.5,na,7047.4,6667.4,5403
"Netherlands",2006,71.6,na,na,na,na,60.5,68.7,71.6,na,na,na,137,86.99,44.1,na,na,na,348337,398550,584546
"Austria",2006,68.6,na,na,na,na,52.3,61.4,68.6,na,na,na,126,83.69,na,na,na,na,126538.1,136166.4,267824.5
"Poland",2006,54.5,na,na,na,na,24,40,54.5,na,na,na,51,81.2,36.1,na,na,na,110211.8,103819.1,274501.7
"Portugal",2006,67.6,na,na,na,na,34.8,51.3,67.6,na,na,na,83,88.25,40.7,na,56.9,na,63494.3,50472.4,166260.5
"Romania",2006,58.8,na,na,na,na,24,40.1,58.8,na,na,na,39,69.19,30.2,na,na,na,35884.6,24081.5,97215.6
"Slovenia",2006,66.6,na,na,na,na,35,50.7,66.6,na,na,na,86,83.25,45.2,na,na,na,20433.7,20418.6,31476.1
"Slovakia",2006,59.4,na,na,na,na,25.9,42.3,59.4,na,na,na,63,85.19,34.8,na,na,na,38025.9,37047,45602
"Finland",2006,69.3,na,na,na,na,42.1,54.1,69.3,na,na,na,115,83.26,na,na,na,na,67273,74474,172897
"Sweden",2006,73.1,na,na,na,na,40.3,52.6,73.1,na,na,na,126,88.34,na,na,na,na,137315,160183.3,337317.2
"United Kingdom",2006,71.6,na,42.6,1.1,na,53.6,62.5,71.6,na,na,na,116,79.9,37.9,na,49.3,na,634274.6,588447,2157333.5
"Belgium",2007,62,na,23,1.6,na,27.5,45.5,62,na,na,na,116,86.13,45.3,na,51.7,na,254850.6,269059.8,343618.9
"Bulgaria",2007,61.7,na,na,na,na,24.5,39,61.7,na,na,na,40,81.78,42.1,na,na,na,23107.6,16996.9,32444.5
"Czechia",2007,66.1,na,35.4,1.7,na,28.5,46.2,66.1,na,na,na,83,85.6,38.1,na,na,na,88514.1,91881.5,139002.1
"Denmark",2007,77,na,37.4,2,na,65.3,70.8,77,na,na,na,123,88,na,na,na,na,113390,120151.6,233383.3
"Germany (until 1990 former territory of the FRG)",2007,69,na,22.3,3.5,na,45.4,54.9,69,na,na,na,116,89,na,na,na,na,913627,1082874,2499550
"Estonia",2007,69.8,na,42,1.7,na,34.1,49,69.8,na,na,na,70,77.25,30.4,na,na,na,11708.8,10267,16401.3
"Ireland",2007,71.7,na,26.1,2.3,na,63,70.2,71.7,na,na,na,148,96.4,38.6,na,46.9,na,142993.7,159304.6,197069.4
"Greece",2007,60.9,na,34.3,3,na,24,42.8,60.9,na,na,na,93,89.75,46.4,na,65.3,na,81452.7,52403.5,232694.6
"Spain",2007,65.8,na,37.2,4.9,na,39.2,55.7,65.8,na,na,na,103,88.75,36.5,na,45.4,na,341622,279476,1075539
"France",2007,64.3,8,32.9,2.9,27.8,31.2,46.9,64.3,8.4,10.6,na,108,89.52,46.9,na,59.6,na,554598,540732,1941360
"Croatia",2007,59,na,na,na,na,27.4,44.5,59,na,na,na,62,84.65,na,na,na,na,20341.8,16640.8,44262.9
"Italy",2007,58.6,na,27.1,2.3,na,24.5,39.5,58.6,na,na,na,107,87.3,na,na,na,na,447317.3,441837,1614839.8
"Cyprus",2007,71,na,49.2,2.4,na,37.4,56.3,71,na,na,na,104,88.67,na,na,na,na,10205.6,9368.8,17591
"Latvia",2007,68.1,na,46.7,3.2,na,38.1,50.3,68.1,na,na,na,58,79.08,34.2,na,na,na,13062.2,8720.4,22791.5
"Lithuania",2007,65,na,37.4,3.1,na,24.8,41.6,65,na,na,na,60,78.93,38.7,na,na,na,18783.7,14981.7,29011.2
"Luxembourg",2007,64.2,na,50.8,2.2,na,22.5,43.7,64.2,na,na,na,268,85.45,46.8,na,56.8,na,51911.3,63831.9,37641.9
